Date,Nairobi,Date,Mombasa,Date,Baringo,Date,Bomet,Date,Bungoma,Date,Busia,Date,Elgeyo-Marakwet,Date,Embu,Date,Garisa,Date,HomaBay,Date,Isiolo,Date,Kajiado,Date,Kakamega,Date,Kericho,Date,Kiambu,Date,Kilifi,Date,Kirinyaga,Date,Kisii,Date,kisumu,Date,Kitui,Date,Kwale,Date,Laikipia,Date,Lamu,Date,Machakos,Date,Makueni,Date,Mandera,Date,Marsabit,Date,Meru,Date,Migori,Date,Murang'a,Date,Nakuru,Date,Nandi,Date,Narok,Date,Nyamira,Date,Nyandarua,Date,Nyeri,Date,Samburu,Date,Siaya,Date,Taita Taveta,Date,Tharaka-Nithi,Date,Trans Nzoia,Date,Turkana,Date,Uasin Gishu,Date,Vihiga,Date,Wajir,Date,West pokot
15.05.2020,2,05.06.2020,1,,,,,,,09.07.2021,1,,,,,22.04.2021,1,10.06.2021,1,,,06.01.2021,1,06.04.2021,2,10.12.2020,1,26.07.2020,1,,,,,19.12.2020,1,07.06.2021,3,25.03.2021,2,,,,,,,01.11.2020,1,10.04.2021,1,,,,,21.03.2021,1,,,15.01.2021,2,15.10.2020,3,,,,,,,25.04.2021,1,06.01.2021,1,,,29.05.2021,1,,,,,,,,,18.10.2020,6,,,,,,
16.05.2020,1,07.06.2020,1,,,,,,,16.07.2021,1,,,,,23.04.2021,2,11.06.2021,2,,,13.02.2021,1,07.04.2021,1,26.12.2020,1,27.07.2020,18,,,,,10.03.2021,1,08.06.2021,1,26.03.2021,2,,,,,,,05.11.2020,2,11.04.2021,1,,,,,23.03.2021,2,,,10.02.2021,1,16.10.2020,1,,,,,,,27.04.2021,1,25.02.2021,1,,,31.05.2021,1,,,,,,,,,19.10.2020,1,,,,,,
20.05.2020,2,08.06.2020,2,,,,,,,17.07.2021,1,,,,,26.04.2021,1,12.06.2021,2,,,18.02.2021,1,14.04.2021,1,29.12.2020,1,28.07.2020,3,,,,,23.03.2021,1,11.06.2021,1,27.03.2021,2,,,,,,,06.11.2020,1,12.04.2021,1,,,,,24.03.2021,2,,,12.02.2021,1,18.10.2020,2,,,,,,,28.04.2021,1,01.03.2021,1,,,05.06.2021,1,,,,,,,,,20.10.2020,2,,,,,,
22.05.2020,1,09.06.2020,3,,,,,,,19.07.2021,2,,,,,30.04.2021,2,13.06.2021,1,,,07.03.2021,1,03.05.2021,1,25.01.2021,1,29.07.2020,2,,,,,24.03.2021,1,16.06.2021,1,30.03.2021,1,,,,,,,12.11.2020,1,13.04.2021,1,,,,,25.03.2021,1,,,27.02.2021,1,19.10.2020,1,,,,,,,16.07.2021,1,07.03.2021,1,,,07.06.2021,1,,,,,,,,,21.10.2020,2,,,,,,
23.05.2020,2,10.06.2020,1,,,,,,,23.07.2021,1,,,,,08.05.2021,1,14.06.2021,2,,,10.03.2021,1,06.05.2021,1,23.02.2021,1,30.07.2020,3,,,,,01.04.2021,1,17.06.2021,2,04.04.2021,3,,,,,,,15.11.2020,1,15.04.2021,2,,,,,27.03.2021,2,,,03.03.2021,1,21.10.2020,3,,,,,,,21.07.2021,2,10.03.2021,1,,,08.06.2021,3,,,,,,,,,24.10.2020,3,,,,,,
24.05.2020,1,11.06.2020,1,,,,,,,28.07.2021,2,,,,,09.05.2021,1,15.06.2021,3,,,18.03.2021,1,15.05.2021,1,17.03.2021,1,01.08.2020,3,,,,,13.04.2021,1,18.06.2021,1,06.04.2021,1,,,,,,,21.11.2020,1,18.04.2021,2,,,,,28.03.2021,2,,,06.03.2021,1,22.10.2020,1,,,,,,,28.07.2021,1,16.03.2021,1,,,09.06.2021,1,,,,,,,,,25.10.2020,2,,,,,,
25.05.2020,5,12.06.2020,1,,,,,,,,,,,,,12.05.2021,1,16.06.2021,2,,,19.03.2021,6,26.05.2021,1,19.03.2021,1,02.08.2020,2,,,,,16.04.2021,1,26.06.2021,1,08.04.2021,2,,,,,,,23.11.2020,3,22.04.2021,1,,,,,30.03.2021,1,,,10.03.2021,4,24.10.2020,3,,,,,,,03.08.2021,1,21.03.2021,2,,,10.06.2021,1,,,,,,,,,26.10.2020,1,,,,,,
26.05.2020,5,14.06.2020,3,,,,,,,,,,,,,19.05.2021,1,17.06.2021,2,,,21.03.2021,1,02.06.2021,1,20.03.2021,1,03.08.2020,2,,,,,24.04.2021,1,,,09.04.2021,3,,,,,,,30.11.2020,1,24.04.2021,1,,,,,31.03.2021,6,,,13.03.2021,2,25.10.2020,1,,,,,,,06.08.2021,1,22.03.2021,1,,,11.06.2021,2,,,,,,,,,27.10.2020,1,,,,,,
27.05.2020,4,15.06.2020,1,,,,,,,,,,,,,29.05.2021,3,18.06.2021,3,,,23.03.2021,2,05.06.2021,2,23.03.2021,1,04.08.2020,2,,,,,25.04.2021,2,,,10.04.2021,1,,,,,,,03.12.2020,1,29.04.2021,3,,,,,01.04.2021,1,,,18.03.2021,3,26.10.2020,2,,,,,,,11.08.2021,1,23.03.2021,1,,,13.06.2021,1,,,,,,,,,28.10.2020,2,,,,,,
28.05.2020,8,16.06.2020,1,,,,,,,,,,,,,07.06.2021,1,20.06.2021,4,,,24.03.2021,1,07.06.2021,2,30.03.2021,1,05.08.2020,1,,,,,03.05.2021,1,,,13.04.2021,1,,,,,,,04.12.2020,1,02.05.2021,2,,,,,02.04.2021,2,,,22.03.2021,1,28.10.2020,1,,,,,,,16.08.2021,1,24.03.2021,2,,,16.06.2021,2,,,,,,,,,29.10.2020,1,,,,,,
